date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:57:42	104/104	---M--	200	added ('OK')	text/plain	etag:%22f673f3a68e8cdf25370c4c27039dd522%22	https://setupclaw.com/robots.txt		(from )
16:57:43	135835/135835	---MCZ	200	added ('OK')	text/html	etag:W/%222199b1627ea170baa594f6ab126a1cd6%22	https://setupclaw.com/	C:/My%20Web%20Sites/https___setupclaw.com_/setupclaw.com/index.html	(from )
16:57:43	31288/31288	---M--	200	added ('OK')	font/woff2	etag:%22da83d5f06d825c5ae65b7cca706cb312%22	https://setupclaw.com/_next/static/media/797e433ab948586e-s.p.dbea232f.woff2	C:/My%20Web%20Sites/https___setupclaw.com_/setupclaw.com/_next/static/media/797e433ab948586e-s.p.dbea232f.woff2	(from https://setupclaw.com/)
16:57:44	28388/28388	---M--	200	added ('OK')	font/woff2	etag:%2218bae71b1e1b2bb25321090a3b563103%22	https://setupclaw.com/_next/static/media/caa3a2e1cccd8315-s.p.853070df.woff2	C:/My%20Web%20Sites/https___setupclaw.com_/setupclaw.com/_next/static/media/caa3a2e1cccd8315-s.p.853070df.woff2	(from https://setupclaw.com/)
16:57:44	2973/2973	---M--	200	added ('OK')	image/jpeg	date:Thu,%2020%20Nov%202025%2023:34:55%20GMT	https://pbs.twimg.com/profile_images/1991652005908037632/1sS3gghN_bigger.jpg	C:/My%20Web%20Sites/https___setupclaw.com_/pbs.twimg.com/profile_images/1991652005908037632/1sS3gghN_bigger.jpg	(from https://setupclaw.com/)
16:57:44	2261/2261	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Feb%202026%2012:39:56%20GMT	https://pbs.twimg.com/profile_images/2020840587415433216/BUlPYfLD_bigger.jpg	C:/My%20Web%20Sites/https___setupclaw.com_/pbs.twimg.com/profile_images/2020840587415433216/BUlPYfLD_bigger.jpg	(from https://setupclaw.com/)
16:57:44	34609/34609	---MCZ	200	added ('OK')	text/css	etag:W/%22b694d9ee3fcea6cc0f78816105f2d1f1%22	https://setupclaw.com/_next/static/chunks/fbe9a0c42506541a.css?dpl=dpl_474bkWgaSh3r2X5krirsum8tACRS	C:/My%20Web%20Sites/https___setupclaw.com_/setupclaw.com/_next/static/chunks/fbe9a0c42506541a5c16.css	(from https://setupclaw.com/)
16:57:45	18755/18755	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a8ff072a60ce58b3c6f967ed62d85bf0%22	https://setupclaw.com/_next/static/chunks/75b31e65f0a4fc66.js?dpl=dpl_474bkWgaSh3r2X5krirsum8tACRS	C:/My%20Web%20Sites/https___setupclaw.com_/setupclaw.com/_next/static/chunks/75b31e65f0a4fc665c16.js	(from https://setupclaw.com/)
16:57:45	38872/38872	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e11238a2a6beebbe21ea3074bffda72%22	https://setupclaw.com/_next/static/chunks/806bdb8e4a6a9b95.js?dpl=dpl_474bkWgaSh3r2X5krirsum8tACRS	C:/My%20Web%20Sites/https___setupclaw.com_/setupclaw.com/_next/static/chunks/806bdb8e4a6a9b955c16.js	(from https://setupclaw.com/)
16:57:45	118913/118913	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a81e9b3a97c53a0a4e50ae2db8092788%22	https://setupclaw.com/_next/static/chunks/511ee8dabee7039c.js?dpl=dpl_474bkWgaSh3r2X5krirsum8tACRS	C:/My%20Web%20Sites/https___setupclaw.com_/setupclaw.com/_next/static/chunks/511ee8dabee7039c5c16.js	(from https://setupclaw.com/)
16:57:46	223454/223454	---MCZ	200	added ('OK')	application/javascript	etag:W/%226d6aac909becba64e834f7ddd175b410%22	https://setupclaw.com/_next/static/chunks/69be39811437728d.js?dpl=dpl_474bkWgaSh3r2X5krirsum8tACRS	C:/My%20Web%20Sites/https___setupclaw.com_/setupclaw.com/_next/static/chunks/69be39811437728d5c16.js	(from https://setupclaw.com/)
16:57:46	10671/10671	---MCZ	200	added ('OK')	application/javascript	etag:W/%227f7ebbb5972314e36d3ca230b30e86db%22	https://setupclaw.com/_next/static/chunks/turbopack-db526edc284a1520.js?dpl=dpl_474bkWgaSh3r2X5krirsum8tACRS	C:/My%20Web%20Sites/https___setupclaw.com_/setupclaw.com/_next/static/chunks/turbopack-db526edc284a15205c16.js	(from https://setupclaw.com/)
16:57:47	7438/7438	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e3c40d0a9625e47b256b4587ba03c031%22	https://setupclaw.com/_next/static/chunks/2c79aa93bbbd9271.js?dpl=dpl_474bkWgaSh3r2X5krirsum8tACRS	C:/My%20Web%20Sites/https___setupclaw.com_/setupclaw.com/_next/static/chunks/2c79aa93bbbd92715c16.js	(from https://setupclaw.com/)
16:57:47	282/282	---M--	200	added ('OK')	application/javascript	etag:%225458632ee5cb3da028baebb11d5f70dd%22	https://setupclaw.com/_next/static/chunks/ff1a16fafef87110.js?dpl=dpl_474bkWgaSh3r2X5krirsum8tACRS	C:/My%20Web%20Sites/https___setupclaw.com_/setupclaw.com/_next/static/chunks/ff1a16fafef871105c16.js	(from https://setupclaw.com/)
16:57:47	30681/30681	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cbc4e7a64361250309bcded06d974418%22	https://setupclaw.com/_next/static/chunks/d2be314c3ece3fbe.js?dpl=dpl_474bkWgaSh3r2X5krirsum8tACRS	C:/My%20Web%20Sites/https___setupclaw.com_/setupclaw.com/_next/static/chunks/d2be314c3ece3fbe5c16.js	(from https://setupclaw.com/)
16:57:47	32963/32963	---MCZ	200	added ('OK')	application/javascript	etag:W/%22eb04aef41e012b0beab575777f2b5807%22	https://setupclaw.com/_next/static/chunks/1e319380bd22f8bc.js?dpl=dpl_474bkWgaSh3r2X5krirsum8tACRS	C:/My%20Web%20Sites/https___setupclaw.com_/setupclaw.com/_next/static/chunks/1e319380bd22f8bc5c16.js	(from https://setupclaw.com/)
